browser,c_color,code_ver,connection_type,country,first_hit_ref_type,geo_city,geo_country,geo_dma,geo_region,geo_zip,hit_source,javascript,language,last_purchase_num,mobile_id,os,page_event,post_cookies,post_pagename,post_Category_ev1_,post_Page_Type_ev3_,post_Finding_method__ev61_,post_LockIn_User_State_ev99_,post_page_event,post_visid_type,ref_type,resolution,search_page_num,va_closer_id,va_finder_id,visit_ref_type_
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Typed/Bookmarked,patna,ind,356011,br,800020****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Storage**,Storage**,FLIPKART:Product Page,OMU,INACTIVE,0,5,6,70,0,9,2,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Other Web Sites,lucknow,ind,356010,up,226016**,1,1.6,b'English (United Kingdom)',0,0,Windows 7,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,ACTIVATE_ELIGIBLE,0,5,1,185,0,16,16,3
Mozilla Firefox 67,24,JS-1.5.1,Mobile Carrier,India,Other Web Sites,nalgonda****,ind,356004,ka,570004****,1,1.6,b'English (United States)',1,0,Windows 7,0,Y,Order Confirmation**,Order Confirmation**,Order Details,Search,INACTIVE,0,5,6,48,0,9,9,3
Google Chrome (unknown version)**,32,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Typed/Bookmarked,patna,ind,356011,br,800001,1,1.6,b'English (United Kingdom)',0,0,Linux,0,Y,Mobile**,Mobile,FLIPKART:Product Page,Direct,NON_LOGGED_IN,0,5,6,191,0,2,2,6
Chrome 38**,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,jaunpur****,ind,0,mp,482001****,1,1.6,language_NA,0,12532881,Android 5.0.1,0,Y,MenFashionAccessory**,MenFashionAccessory,FLIPKART:Product Page,Menu,NON_LOGGED_IN,0,5,6,199,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,hyderabad,ind,356006,tg,500025,1,1.6,b'English (United States)',6,0,Windows 7,0,Y,My Account**,My Account**,My Account,Direct,INACTIVE,0,5,6,10,0,2,2,6
Mozilla Firefox (unknown version)**,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Typed/Bookmarked,slough,gbr,826044,slg,sl1 0sa,1,1.8.5,b'English (United States)',0,0,Windows Vista,0,Y,View All Sellers ,MobileProtection,View All Sellers,Direct,NON_LOGGED_IN,0,5,6,186,0,2,2,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Other Web Sites,chennai,ind,356007,tn,600001,1,1.6,language_NA,2,0,Windows 7,0,Y,Mobile**,Mobile,FLIPKART:Product Page,Direct,INACTIVE,0,5,6,185,0,2,12,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,indore,ind,0,mp,452001**,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Checkout,Checkout:Address**,Checkout,Search,INACTIVE,0,5,6,185,0,2,5,6
Chrome 38**,32,JS-1.5.1,LAN/Wifi,India,Other Web Sites,balaghat****,ind,356009,ap,517419****,1,1.6,language_NA,0,8424495,Android 4.4.4,0,Y,Search ,Book,Search Page,post_Finding method (ev61)_NA,NON_LOGGED_IN,0,5,6,8,0,9,9,3
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,India,Other Web Sites,chennai,ind,356007,tn,600001,1,1.6,b'English (United States)',4,0,Windows 7,0,Y,Search :Mobiles & Accessories,Mobile,Search Page,Direct,INACTIVE,0,5,6,185,0,16,16,3
Microsoft Edge 17,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Other Web Sites,bangalore,ind,356004,ka,560004,1,1.6,language_NA,1,0,Windows 10,0,Y,Mobile**,Mobile,FLIPKART:Product Page,AS_QueryStore_HistoryAutoSuggest_0_0**,NON_LOGGED_IN,0,5,6,185,0,9,16,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,India,Typed/Bookmarked,kokrajhar****,ind,0,or,752115****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Watch**,Watch,FLIPKART:Product Page,Wishlist**,ACTIVATE_ELIGIBLE,0,5,6,70,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,bangalore,ind,356004,ka,560001**,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,Search :Audio & Video**,Watch,Search Page,Search,ACTIVE,0,5,6,185,0,16,16,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,mumbai,ind,356002,mh,400002,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Store :All**,Stationery**,Store Browse,post_Finding method (ev61)_NA,NON_LOGGED_IN,0,5,6,185,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Typed/Bookmarked,chennai,ind,356007,tn,600001,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,HomeFurnishing****,Help Centre**,Help Centre,Direct,INACTIVE,0,5,6,70,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Typed/Bookmarked,noida****,ind,356002,mh,431002****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Search :Mobiles & Accessories,MobileProtection,Search Page,Search,NON_LOGGED_IN,0,5,6,70,0,17,2,3
