browser,c_color,code_ver,connection_type,country,first_hit_ref_type,geo_city,geo_country,geo_dma,geo_region,geo_zip,hit_source,javascript,language,last_purchase_num,mobile_id,os,page_event,post_cookies,post_pagename,post_Category_ev1_,post_Page_Type_ev3_,post_Finding_method__ev61_,post_LockIn_User_State_ev99_,post_page_event,post_visid_type,ref_type,resolution,search_page_num,va_closer_id,va_finder_id,visit_ref_type_
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,chennai,ind,356007,tn,600010****,1,1.6,b'English (United States)',0,0,Windows 8,0,Y,Mobile**,MobileProtection,FLIPKART:Product Page,Search,NON_LOGGED_IN,0,5,6,185,0,9,9,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,IP Address Only,Other Web Sites,kokrajhar****,ind,0,or,752115****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Search :Mobiles & Accessories,Tablet**,Search Page,Search,NON_LOGGED_IN,0,5,6,186,0,2,16,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,delhi,ind,356001,dl,110007,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,NON_LOGGED_IN,0,5,3,186,1,16,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,mumbai,ind,356002,mh,400002,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,HomeFurnishing****,HelmetAndRidingGear**,Help Centre,post_Finding method (ev61)_NA,INACTIVE,0,5,6,185,0,2,2,6
Google Chrome 73,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,bawshar****,ind,356003,wb,742160****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Mobile**,Mobile,FLIPKART:Product Page,Direct,INACTIVE,0,5,1,0,0,9,9,1
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Typed/Bookmarked,lucknow,ind,356010,up,226016**,1,1.6,b'English (United States)',3,0,Windows 10,0,Y,Search,MensClothingTopWear,Search Page,Direct,NON_LOGGED_IN,0,5,6,185,0,9,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,mumbai,ind,356002,mh,400002,1,1.6,b'English (United States)',4,0,Windows 8.1,0,Y,COIN_ACTIVITY****,CarAndBikeBreakdownEquipment****,dynamic,Direct,ACTIVE,0,5,6,185,0,9,9,6
Mozilla Firefox (unknown version)**,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Typed/Bookmarked,sanad****,fra,250059,hdf**,600010****,1,1.8.5,b'English (United States)',0,0,Linux,0,Y,View All Sellers ,MenFashionAccessory,View All Sellers,post_Finding method (ev61)_NA,NON_LOGGED_IN,0,5,6,186,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,nalgonda****,ind,0,mh,46200****,1,1.6,b'English (United Kingdom)',0,0,OS X 10.12,0,Y,HomePage,HomePage,FLIPKART:HomePage,AS_QueryStore_HistoryAutoSuggest_0_0**,NON_LOGGED_IN,0,5,3,185,1,16,2,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,bangalore,ind,356004,ka,560004,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,HomeFurnishing****,HelmetAndRidingGear**,Help Centre,Wishlist**,INACTIVE,0,5,6,218,0,16,2,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Other Web Sites,delhi,ind,356001,dl,110001**,1,1.6,b'English (United States)',1,0,Windows 10,0,Y,Television:JVC 109cm **,Television,FLIPKART:Product Page,Search,INACTIVE,0,5,6,100,0,16,16,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,patna,ind,356011,br,800001,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,Checkout,Checkout:Address**,Checkout,Search,INACTIVE,0,5,6,48,0,12,16,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Other Web Sites,pune,ind,356005,mh,411033,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,My Addresses**,My Addresses**,My Addresses,Direct,ACTIVE,0,5,6,185,0,2,12,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Other Web Sites,navsari,ind,356008,gj,396421,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,NON_LOGGED_IN,0,5,3,10,1,12,9,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,coimbatore****,ind,356009,ap,530001****,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,View Cart,View Cart,FLIPKART:View Cart,Direct,INACTIVE,0,5,6,185,0,12,16,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,hyderabad,ind,356006,tg,500025,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Search,Gourmet****,Search Page,Search,NON_LOGGED_IN,0,5,6,13,0,2,16,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,bangalore,ind,356004,ka,570004****,1,1.6,b'English (United Kingdom)',2,0,Windows 10,0,Y,CLP,CarAndBikeBreakdownEquipment****,FLIPKART:CLP,Browse,ACTIVE,0,5,1,70,0,16,16,3
